SOLICITUDORIGINAL;N_ORDEN_DISTRIBU;FECHA_CREACION_ORDEN;PONUMB;EX14ERROR;DESPA;TIPO_ESTADO;TIPO_RELACION;RELNUM;INUMBR;RELBL5; 
114919738;121459660;2017-10-25 08:00:17.000000;609396;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919411;121459677;2017-10-25 08:00:18.000000;609413;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919411;121459678;2017-10-25 08:00:18.000000;609414;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919411;121459679;2017-10-25 08:00:18.000000;609415;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919826;121459657;2017-10-25 08:00:17.000000;609393;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919876;121459664;2017-10-25 08:00:17.000000;609400;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919785;121459647;2017-10-25 08:00:17.000000;609383;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919634;121459652;2017-10-25 08:00:17.000000;609388;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171025003215834744;121459667;2017-10-25 08:00:17.000000;609403;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171024003215847327;121459645;2017-10-25 08:00:17.000000;609381;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919706;121459649;2017-10-25 08:00:17.000000;609385;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171025003215839247;121459654;2017-10-25 08:00:17.000000;609390;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919626;121459666;2017-10-25 08:00:17.000000;609402;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919554;121459676;2017-10-25 08:00:17.000000;609412;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919112;121459406;2017-10-25 07:00:09.000000;609376;[25-10-2017 07:36] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114919479;121459648;2017-10-25 08:00:17.000000;609384;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114920000;121459665;2017-10-25 08:00:17.000000;609401;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919683;121459644;2017-10-25 08:00:17.000000;609380;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919377;121459650;2017-10-25 08:00:17.000000;609386;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171025003215830419;121459662;2017-10-25 08:00:17.000000;609398;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919691;121459675;2017-10-25 08:00:17.000000;609411;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
