SOLICITUDORIGINAL;N_ORDEN_DISTRIBU;FECHA_CREACION_ORDEN;PONUMB;EX14ERROR;DESPA;TIPO_ESTADO;TIPO_RELACION;RELNUM;INUMBR;RELBL5; 
114919077;121459404;2017-10-25 07:00:09.000000;609374;[25-10-2017 07:36] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114919559;121459646;2017-10-25 08:00:17.000000;609382;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919462;121459651;2017-10-25 08:00:17.000000;609387;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
20171025003215854024;121459661;2017-10-25 08:00:17.000000;609397;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919783;121459674;2017-10-25 08:00:17.000000;609410;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919233;121459656;2017-10-25 08:00:17.000000;609392;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919543;121459668;2017-10-25 08:00:17.000000;609404;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919647;121459658;2017-10-25 08:00:17.000000;609394;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919154;121459671;2017-10-25 08:00:17.000000;609407;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114055804;121459407;2017-10-25 07:00:09.000000;609377;[25-10-2017 07:36] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
20171025003215830420;121459670;2017-10-25 08:00:17.000000;609406;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919870;121459655;2017-10-25 08:00:17.000000;609391;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919897;121459672;2017-10-25 08:00:17.000000;609408;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919555;121459673;2017-10-25 08:00:17.000000;609409;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919004;121459405;2017-10-25 07:00:09.000000;609375;[25-10-2017 07:36] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114919962;121459659;2017-10-25 08:00:17.000000;609395;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919035;121459408;2017-10-25 07:00:09.000000;609378;[25-10-2017 07:36] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114919035;121459409;2017-10-25 07:00:09.000000;609379;[25-10-2017 07:36] La OC se cargo correctamente                                                     ;PD ;0;2;;;;
114919582;121459669;2017-10-25 08:00:17.000000;609405;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919420;121459653;2017-10-25 08:00:17.000000;609389;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
114919192;121459663;2017-10-25 08:00:17.000000;609399;[25-10-2017 08:38] La OC se cargo correctamente                                                     ;CD ;0;2;;;;
